,fname,lname,nname,height,weight,reach,stance,win,lose,draw
3090,Anderson,Silva,The Spider,"6' 2""",185 lbs.,"77.0""",Southpaw,34,11,0
3091,Wanderlei,Silva,The Axe Murderer,"5' 11""",205 lbs.,"74.0""",Orthodox,35,13,1
3092,Thiago,Silva,,"6' 2""",205 lbs.,"74.0""",Orthodox,19,6,0
3093,Paulo Cesar,Silva,Giant,"7' 5""",385 lbs.,--,Orthodox,2,6,0
3094,Jean,Silva,White Bear,"5' 6""",160 lbs.,--,Orthodox,19,12,3
3095,Edson,Silva,Paredao,--,205 lbs.,--,Orthodox,14,12,0
3096,Sidney,Silva,,"6' 3""",170 lbs.,--,Southpaw,8,4,0
3097,Jay,Silva,,"6' 2""",185 lbs.,--,Southpaw,10,11,1
3098,Antonio,Silva,Bigfoot,"6' 4""",264 lbs.,"82.0""",Orthodox,19,12,1
3099,Fabio,Silva,,"5' 11""",205 lbs.,--,Orthodox,1,8,0
3100,Erick,Silva,,"6' 0""",170 lbs.,"74.0""",Orthodox,19,9,0
3101,Leandro,Silva,Buscape,"5' 9""",155 lbs.,"72.0""",Orthodox,20,6,1
3102,Claudio,Silva,Hannibal,"5' 11""",170 lbs.,"71.0""",Southpaw,14,3,0
3103,Wagner,Silva,Wagnao,"6' 0""",170 lbs.,--,Orthodox,6,3,0
3104,Rafael,Silva,Morcego,"5' 7""",135 lbs.,--,,28,6,0
3105,Joaquim,Silva,Netto BJJ,"5' 8""",155 lbs.,"69.0""",Southpaw,11,4,0
3106,Felipe,Silva,,"6' 0""",155 lbs.,"77.0""",Orthodox,8,2,0
3107,Dayana,Silva,,"5' 7""",135 lbs.,--,Orthodox,7,4,0
3108,Bruno,Silva,Bulldog,"5' 4""",125 lbs.,"65.0""",Orthodox,12,5,2
3109,Bruno,Silva,Blindado,"6' 0""",185 lbs.,"74.0""",Orthodox,22,6,0
3110,Gabriel,Silva,,"5' 6""",135 lbs.,"71.0""",Orthodox,8,2,0
3111,Jacob,Silva,Lil Animal,"5' 5""",125 lbs.,"67.0""",Orthodox,6,4,0
3112,Natalia,Silva,,"5' 4""",125 lbs.,--,,12,5,1
3113,Jansey,Silva,Jones,"6' 2""",185 lbs.,"67.0""",Orthodox,7,2,0
3114,Maria,Silva,Viuva Negra,"5' 3""",115 lbs.,"65.0""",Orthodox,7,0,0
3115,Karine,Silva,Killer,"5' 5""",125 lbs.,"67.0""",Orthodox,14,4,0
3116,Douglas,Silva de Andrade,D Silva,"5' 7""",135 lbs.,"68.0""",Orthodox,27,4,0
3117,Leonardo,Silva de Oliveira,Cabecao,"6' 2""",185 lbs.,--,Orthodox,12,4,0
3118,Marcus,Silveira,Conan,"6' 3""",242 lbs.,--,Orthodox,6,4,0
3119,Elias,Silverio,Xuxu,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0
3120,Jamey,Simmons,The Afro Samurai,"5' 6""",135 lbs.,"70.0""",Orthodox,7,4,0
3121,Ricky,Simon,,"5' 6""",135 lbs.,"69.0""",Orthodox,19,3,0
3122,Aaron,Simpson,A-Train,"6' 0""",170 lbs.,"73.0""",Orthodox,12,5,0
3123,Wes,Sims,The Project,"6' 10""",260 lbs.,--,Orthodox,24,14,1
3124,Marlon,Sims,,--,170 lbs.,--,,3,4,0
3125,Tony,Sims,,"5' 11""",155 lbs.,"70.0""",Southpaw,12,4,0
3126,Everett,Sims,Sexual Chocolate,"6' 5""",260 lbs.,"77.0""",Southpaw,4,1,0
3127,Lodune,Sincaid,,"5' 9""",185 lbs.,--,Orthodox,15,9,0
3128,Rob,Sinclair,,"5' 8""",155 lbs.,--,,13,5,0
3129,Rory,Singer,Outburst,"6' 2""",185 lbs.,"77.0""",Orthodox,11,9,0
3130,Elvis,Sinosic,The King of Rock n' Rumble,"6' 3""",205 lbs.,"77.0""",Orthodox,7,11,2
3131,Mitchell,Sipe,No Dice,"6' 2""",245 lbs.,--,Orthodox,4,1,0
3132,AJ,Siscoe,Let's Go,"5' 7""",135 lbs.,--,,1,2,0
3133,Yokthai,Sithoar,,"5' 7""",143 lbs.,--,,0,1,0
3134,Jeri,Sitzes,,"5' 5""",125 lbs.,--,,3,1,0
3135,Dennis,Siver,,"5' 6""",145 lbs.,"70.0""",Orthodox,23,11,0
3136,Chas,Skelly,The Scrapper,"5' 11""",145 lbs.,"72.0""",Orthodox,18,3,0
3137,Matt,Skelton,,"6' 3""",265 lbs.,--,Orthodox,0,1,0
3138,Zach,Skinner,,"5' 6""",145 lbs.,--,Orthodox,10,11,0
3139,Brian,Sleeman,,"5' 8""",185 lbs.,--,,9,9,1
3140,Joe,Slick,,"6' 0""",199 lbs.,--,Orthodox,16,5,3
3141,Ray,Sloan,,"6' 1""",205 lbs.,--,,8,1,0
3142,Kestutis,Smirnovas,,"5' 10""",200 lbs.,--,Orthodox,24,8,2
3143,Maurice,Smith,,"6' 2""",221 lbs.,--,Orthodox,12,14,0
3144,Patrick,Smith,,"6' 2""",225 lbs.,--,Orthodox,20,17,0
3145,Scott,Smith,Hands of Steel,"6' 0""",185 lbs.,"70.0""",Orthodox,18,11,0
3146,Eric,Smith,,--,--,--,Southpaw,1,1,0
3147,Josh,Smith,,"6' 0""",155 lbs.,--,Orthodox,9,8,0
3148,David,Smith,,--,155 lbs.,--,,5,1,0
3149,Adam,Smith,,--,--,--,,0,3,0
3150,Dillon,Smith,,"6' 0""",170 lbs.,--,,0,0,0
3151,Trevor,Smith,Hot Sauce,"6' 3""",185 lbs.,"75.0""",Orthodox,15,10,0
3152,Anthony,Smith,Lionheart,"6' 4""",205 lbs.,"76.0""",Orthodox,36,16,0
3153,Colton,Smith,,"6' 0""",155 lbs.,"71.0""",Orthodox,7,4,0
3154,Gilbert,Smith,,"5' 9""",185 lbs.,--,Southpaw,12,6,0
3155,Leslie,Smith,The Peacemaker,"5' 9""",135 lbs.,"66.0""",Orthodox,10,7,1
3156,Devonte,Smith,King Kage,"5' 9""",155 lbs.,"76.0""",Orthodox,11,3,0
3157,Cole,Smith,The Cole Train,"5' 11""",135 lbs.,"67.0""",Orthodox,7,2,0
3158,Nate,Smith,The Savage,"5' 6""",125 lbs.,"69.0""",Switch,6,1,0
3159,Walter,Smith-Cotito,,"5' 8""",135 lbs.,--,,4,5,0
3160,Justin,Smitley,,--,145 lbs.,--,,10,7,1
3161,Dmitrii,Smoliakov,The Lifeguard,"6' 2""",253 lbs.,"74.0""",Switch,9,3,0
3162,Louis,Smolka,Da Last Samurai,"5' 9""",135 lbs.,"68.0""",Orthodox,17,8,0
3163,Shimon,Smotritsky,The Assassin,"6' 2""",170 lbs.,"74.0""",Orthodox,7,1,0
3164,Richie,Smullen,,"5' 9""",155 lbs.,"68.0""",Orthodox,3,1,1
3165,Devin,Smyth,,"5' 10""",170 lbs.,"72.0""",Switch,4,2,0
3166,Denis,Sobolev,,"6' 3""",216 lbs.,--,Orthodox,4,7,0
3167,Peter,Sobotta,,"6' 0""",170 lbs.,"75.0""",Southpaw,17,7,1
3168,Renato,Sobral,Babalu,"6' 1""",205 lbs.,"75.0""",Orthodox,37,11,0
3169,Rameau Thierry,Sokoudjou,The African Assassin,"5' 10""",205 lbs.,"78.0""",Orthodox,18,18,0
3170,Joe,Solecki,,"5' 9""",155 lbs.,"70.0""",Orthodox,11,3,0
3171,Chris,Solomon,,"5' 11""",155 lbs.,--,,0,0,0
3172,Joe,Son,,"5' 4""",236 lbs.,--,Orthodox,0,4,0
3173,Paul,Song,,--,185 lbs.,--,,2,2,0
3174,Song,Kenan,The Assassin,"6' 0""",170 lbs.,"71.0""",Orthodox,16,6,0
3175,Song,Yadong,,"5' 8""",135 lbs.,"67.0""",Orthodox,18,5,1
3176,Chael,Sonnen,,"6' 1""",205 lbs.,"73.0""",Southpaw,29,15,1
3177,Cody,Sons,,"5' 9""",205 lbs.,--,,3,7,0
3178,Jin,Soo Son,,"5' 6""",135 lbs.,"69.0""",Orthodox,9,4,0
3179,Emiliano,Sordi,He-Man,"6' 2""",205 lbs.,--,Orthodox,16,7,0
3180,Sean,Soriano,,"5' 9""",145 lbs.,"70.0""",Orthodox,14,8,0
3181,Punahele,Soriano,Puna,"5' 11""",185 lbs.,"72.0""",Southpaw,8,1,0
3182,Dmitry,Sosnovskiy,Wicked Machine,"6' 3""",240 lbs.,"77.0""",Orthodox,11,0,0
3183,Ben,Sosoli,Combat Wombat,"6' 0""",265 lbs.,"72.0""",Southpaw,7,3,0
3184,Krzysztof,Soszynski,The Polish Experiment,"6' 1""",205 lbs.,"77.0""",Open Stance,26,12,1
3185,George,Sotiropoulos,,"5' 10""",155 lbs.,"71.0""",Orthodox,14,7,0
3186,Greg,Soto,,"5' 11""",170 lbs.,"73.0""",Orthodox,9,4,0
3187,Alex,Soto,Extremo,"5' 8""",135 lbs.,--,Southpaw,8,3,1
3188,Joe,Soto,One Bad Mofo,"5' 6""",135 lbs.,"65.0""",Orthodox,18,7,0
3189,Mario,Soto,Dr. Mario,"6' 0""",145 lbs.,--,,7,2,0
3190,Andre,Soukhamthath,The Asian Sensation,"5' 9""",135 lbs.,"70.0""",Orthodox,13,8,0
3191,Mario,Sousa,Coracao Valente,"6' 3""",185 lbs.,"79.0""",Orthodox,12,2,0
3192,Bobby,Southworth,,"6' 2""",205 lbs.,--,Orthodox,10,6,0
3193,Jacare,Souza,,"6' 1""",185 lbs.,"72.0""",Orthodox,26,10,0
3194,Edimilson,Souza,Kevin,"6' 0""",145 lbs.,"74.0""",Orthodox,15,5,0
3195,Livinha,Souza,The Brazilian Gangsta,"5' 3""",115 lbs.,"63.0""",Orthodox,14,4,0
3196,Bruno,Souza,The Tiger,"5' 10""",145 lbs.,"70.0""",Orthodox,10,2,0
3197,Charon,Spain,,"5' 9""",155 lbs.,--,,14,26,0
3198,Chris,Spang,The Kiss,"6' 2""",170 lbs.,--,Orthodox,6,3,0
3199,Andreas,Spang,Sweet Swede,"6' 1""",185 lbs.,--,,9,3,0
3200,Ryan,Spann,Superman,"6' 5""",205 lbs.,"79.0""",Orthodox,19,7,0
3201,Ron,Sparks,The Monster,"6' 5""",265 lbs.,--,,8,3,0
3202,Tommy,Speer,,"5' 10""",170 lbs.,"71.0""",Orthodox,21,7,0
3203,Patrick,Speight,,"6' 1""",170 lbs.,--,Orthodox,7,3,0
3204,Sean,Spencer,Black Magic,"5' 10""",170 lbs.,"74.0""",Orthodox,12,6,0
3205,Felicia,Spencer,FeeNom,"5' 6""",145 lbs.,"68.0""",Orthodox,9,3,0
3206,Sam,Spengler,The Ram,"5' 11""",185 lbs.,--,Orthodox,9,5,0
3207,Nick,Sperling,,--,135 lbs.,--,,3,4,0
3208,Mario,Sperry,Zen Machine,"6' 2""",205 lbs.,--,Orthodox,13,4,0
3209,Eric,Spicely,Zebrinha,"6' 1""",185 lbs.,"73.0""",Orthodox,12,6,0
3210,Waachiim,Spiritwolf,Native Warrior,"5' 8""",170 lbs.,--,,12,13,1
3211,Daniel,Spitz,,"6' 7""",245 lbs.,"82.0""",Orthodox,6,3,0
3212,Serghei,Spivac,Polar Bear,"6' 3""",260 lbs.,"78.0""",Orthodox,13,3,0
3213,Daniel,Spohn,Dragon,"6' 4""",205 lbs.,"79.0""",Southpaw,15,6,0
3214,Pete,Spratt,The Secret Weapon,"5' 9""",170 lbs.,--,Orthodox,25,23,0
3215,Austin,Springer,,"5' 8""",145 lbs.,"71.0""",Orthodox,12,4,0
3216,Georges,St-Pierre,Rush,"5' 11""",185 lbs.,"76.0""",Orthodox,26,2,0
3217,Bobby,Stack,,"5' 9""",155 lbs.,--,Orthodox,8,3,0
3218,Andreas,Stahl,Real Steel,"5' 11""",170 lbs.,--,Orthodox,10,4,0
3219,Ron,Stallings,The Choir Boy,"6' 2""",170 lbs.,"75.0""",Southpaw,14,8,0
3220,Cody,Stamann,The Spartan,"5' 6""",145 lbs.,"64.0""",Orthodox,19,5,1
3221,Cristina,Stanciu,Barbie,"5' 3""",115 lbs.,--,Orthodox,5,2,0
3222,Brian,Stann,All American,"6' 1""",205 lbs.,"74.0""",Orthodox,12,6,0
3223,Josh,Stansbury,The Sandman,"6' 2""",205 lbs.,"74.0""",Orthodox,4,8,0
3224,Dion,Staring,Soldier,"6' 1""",235 lbs.,--,Orthodox,35,14,0
3225,Lucas,Stark,,--,155 lbs.,--,,1,5,0
3226,Clifford,Starks,,"6' 0""",185 lbs.,"78.0""",Orthodox,13,3,0
3227,Kalib,Starnes,,"6' 3""",185 lbs.,"74.0""",Orthodox,17,11,1
3228,Laureano,Staropoli,Pepi,"6' 1""",185 lbs.,"71.0""",Orthodox,9,5,0
3229,Damian,Stasiak,Webster,"5' 5""",135 lbs.,"70.0""",Orthodox,10,6,0
3230,Adam,Steele,,--,170 lbs.,--,,0,1,0
3231,Dominique,Steele,Non-Stop Action-Packed,"5' 10""",170 lbs.,"74.0""",Orthodox,14,9,0
3232,Ricky,Steele,The Karate Kid,"5' 9""",135 lbs.,"74.0""",Orthodox,6,0,0
3233,Eric,Steenberg,,--,155 lbs.,--,,5,1,0
3234,Steve,Steinbeiss,The Hooligan,"6' 3""",185 lbs.,"75.0""",Orthodox,9,4,0
3235,Ray,Steinbeiss,Ipswitch Cobra,"5' 11""",170 lbs.,--,Orthodox,14,7,0
3236,Dmitri,Stepanov,,"6' 3""",217 lbs.,--,Orthodox,0,1,0
3237,Jeremy,Stephens,Lil' Heathen,"5' 9""",145 lbs.,"71.0""",Orthodox,28,19,0
3238,Aljamain,Sterling,Funk Master,"5' 7""",135 lbs.,"71.0""",Orthodox,20,3,0
3239,Marc,Stevens,,"5' 9""",155 lbs.,--,,21,10,0
3240,Joe,Stevenson,Daddy,"5' 7""",145 lbs.,"70.0""",Orthodox,33,16,0
3241,Maia,Stevenson,,"5' 4""",115 lbs.,"62.0""",Orthodox,6,5,0
3242,Luke,Stewart,,"5' 11""",170 lbs.,--,Orthodox,6,3,0
3243,Darren,Stewart,The Dentist,"6' 0""",205 lbs.,"74.0""",Orthodox,12,8,0
3244,Kyle,Stewart,Gunz Up,"6' 0""",170 lbs.,"76.0""",Orthodox,11,3,0
3245,Alex,Stiebling,The Brazilian Killa,"6' 2""",205 lbs.,--,Southpaw,19,11,1
3246,Tyler,Stinson,The Evolution,"6' 3""",170 lbs.,--,,30,10,0
3247,Dan,Stittgen,The Anvil,"6' 1""",170 lbs.,--,Orthodox,12,5,0
3248,Lazar,Stojadinovic,The Bronx Bomber,"5' 7""",145 lbs.,"68.0""",Southpaw,12,5,0
3249,Denis,Stojnic,,"6' 0""",245 lbs.,--,Orthodox,13,3,0
3250,Julija,Stoliarenko,,"5' 7""",135 lbs.,"66.0""",,9,6,1
3251,Dustin,Stoltzfus,,"6' 0""",185 lbs.,"75.0""",Orthodox,13,4,0
3252,Niklas,Stolze,Green Mask,"6' 0""",170 lbs.,"75.0""",Switch,12,5,0
3253,Ken,Stone,,"5' 8""",135 lbs.,"71.0""",Southpaw,11,4,0
3254,Ryan,Stonitsch,,"5' 9""",170 lbs.,--,Southpaw,8,1,0
3255,George,Stork,,"5' 10""",185 lbs.,--,,7,9,0
3256,Rick,Story,The Horror,"5' 9""",170 lbs.,"71.0""",Southpaw,19,9,0
3257,Darko,Stosic,,"6' 0""",205 lbs.,"76.0""",Orthodox,13,4,0
3258,Greg,Stott,Ranger,"5' 7""",220 lbs.,--,Southpaw,0,1,0
3259,Curtis,Stout,,"6' 1""",185 lbs.,--,Southpaw,11,12,1
3260,Sam,Stout,Hands of Stone,"5' 9""",155 lbs.,"70.0""",Orthodox,20,12,1
3261,Tim,Stout,,"5' 11""",185 lbs.,--,,12,10,0
3262,Jesse,Strader,Sui Generis,"5' 7""",135 lbs.,"70.0""",Orthodox,5,2,0
3263,Gennaro,Strangis,,--,--,--,,0,1,0
3264,Dave,Strasser,,"5' 10""",170 lbs.,--,Orthodox,25,8,0
3265,Daniel,Straus,,"5' 7""",145 lbs.,"71.0""",,24,7,0
3266,Gerald,Strebendt,The Finishing Machine,"5' 9""",155 lbs.,--,Orthodox,9,7,0
3267,Sean,Strickland,Tarzan,"6' 1""",185 lbs.,"76.0""",Orthodox,24,3,0
3268,Mark,Striegl,Mugen,"5' 8""",135 lbs.,"70.0""",Southpaw,18,3,0
3269,Hans,Stringer,,"6' 3""",205 lbs.,--,Orthodox,22,8,3
3270,Stefan,Struve,Skyscraper,"6' 11""",265 lbs.,"84.0""",Orthodox,33,13,0
3271,Josh,Stuart,,"5' 9""",160 lbs.,--,,1,4,0
3272,Mike,Stumpf,,"5' 10""",170 lbs.,--,,11,4,0
3273,Kyle,Sturgeon,,"6' 3""",225 lbs.,--,Switch,0,1,0
3274,Tatiana,Suarez,,"5' 5""",115 lbs.,"66.0""",Southpaw,9,0,0
3275,Masanori,Suda,,"5' 9""",183 lbs.,--,Orthodox,22,11,3
3276,Genki,Sudo,Neo-Samurai,"5' 9""",155 lbs.,--,Orthodox,15,4,2
3277,Lucasz,Sudolski,,"6' 4""",205 lbs.,"75.0""",Orthodox,8,1,0
3278,Daisuke,Sugie,Amazon,"5' 6""",160 lbs.,--,Orthodox,10,8,1
3279,Takashi,Sugiura,,"5' 11""",225 lbs.,--,Southpaw,1,3,0
3280,Naho,Sugiyuma,Sugi Rock,"5' 1""",105 lbs.,--,,12,5,0
3281,George,Sullivan,The Silencer,"6' 0""",170 lbs.,"73.0""",Orthodox,17,7,0
3282,Amar,Suloev,,"5' 9""",183 lbs.,--,Orthodox,24,7,0
3283,Magomed,Sultanakhmedov,,"6' 2""",185 lbs.,--,Southpaw,18,6,0
3284,Justin,Sumter,,"6' 2""",185 lbs.,"80.0""",Southpaw,7,3,0
3285,,Sumudaerji,The Tibetan Eagle,"5' 8""",125 lbs.,"72.0""",Southpaw,14,4,0
3286,Aji,Susilo,,"5' 10""",155 lbs.,--,,6,4,0
3287,Jason,Suttie,Nobunaga,"6' 0""",210 lbs.,--,Orthodox,0,1,0
3288,Joel,Sutton,,"5' 11""",205 lbs.,--,Orthodox,2,4,1
3289,Chad,Sutton,,"6' 1""",185 lbs.,--,,2,2,0
3290,Martin,Svensson,,"6' 1""",155 lbs.,--,,15,6,0
3291,Daniel,Swain,,"5' 9""",145 lbs.,"70.0""",Orthodox,20,10,1
3292,Cub,Swanson,,"5' 8""",145 lbs.,"70.0""",Orthodox,28,12,0
3293,Mike,Swick,Quick,"6' 1""",170 lbs.,"77.0""",Orthodox,15,6,0
3294,Floyd,Sword,,"6' 0""",185 lbs.,--,Orthodox,12,3,0
3295,Bentley,Syler,Bolivia,"5' 4""",125 lbs.,--,Orthodox,5,1,0
3296,Kevin,Syler,El Nino Bala,"5' 9""",155 lbs.,"71.0""",Switch,10,1,0
3297,Leo,Sylvest,Lethal,"5' 11""",205 lbs.,--,Orthodox,10,16,0
3298,Tony,Sylvester,,"6' 1""",225 lbs.,--,Southpaw,11,3,0
3299,Tim,Sylvia,The Maine-iac,"6' 8""",265 lbs.,"80.0""",Orthodox,31,10,0
3300,Osamu,Tachihikari,,"6' 5""",300 lbs.,--,Orthodox,0,4,0
3301,Amber,Tackett,,--,115 lbs.,--,,1,3,0
3302,Eugenio,Tadeu,,"5' 8""",160 lbs.,--,Orthodox,2,3,0
3303,Justin,Tafa,Bad Man,"6' 0""",264 lbs.,"74.0""",Southpaw,5,3,0
3304,Junior,Tafa,,--,--,--,,0,0,0
3305,Khalid,Taha,The Warrior,"5' 5""",135 lbs.,"69.0""",Orthodox,13,4,0
3306,Joe,Taimanglo,The Juggernaut,"5' 4""",135 lbs.,--,,23,7,1
3307,Mairbek,Taisumov,Beckan,"5' 9""",155 lbs.,"73.0""",Orthodox,27,6,0
3308,Nobuhiko,Takada,,"6' 0""",220 lbs.,--,Southpaw,2,6,2
3309,Yoshiki,Takahashi,Kazuo,"5' 11""",199 lbs.,--,Southpaw,30,27,3
3310,Yoko,Takahashi,,"5' 8""",150 lbs.,--,,15,12,2
3311,Daiju,Takase,,"6' 0""",170 lbs.,--,Southpaw,12,15,2
3312,Hiroyuki,Takaya,Streetfight Bancho,"5' 6""",139 lbs.,--,Orthodox,21,14,2
3313,Yoshihiro,Takayama,,"6' 5""",280 lbs.,--,Orthodox,1,4,0
3314,Makoto,Takimoto,,"5' 7""",205 lbs.,--,Southpaw,6,5,0
3315,Oleg,Taktarov,The Russian Bear,"6' 0""",210 lbs.,--,Orthodox,17,5,2
3316,Nordine,Taleb,,"6' 1""",170 lbs.,"74.0""",Orthodox,15,7,0
3317,Tsuyoshi,Tamakairiki,,"6' 0""",220 lbs.,--,Orthodox,0,3,0
3318,Eli,Tamez,Tomahawk,"5' 7""",135 lbs.,--,,10,0,0
3319,Kiyoshi,Tamura,,"5' 11""",185 lbs.,--,Southpaw,32,13,3
3320,Akitoshi,Tamura,The Ironman,"5' 9""",135 lbs.,"70.0""",Orthodox,21,18,2
3321,Issei,Tamura,,"5' 5""",135 lbs.,"63.0""",Orthodox,10,8,0
3322,Jason,Tan,,"5' 10""",170 lbs.,--,Orthodox,5,3,0
3323,Akihito,Tanaka,Kinniku Mantaro,--,--,--,Southpaw,2,2,0
3324,Michinori,Tanaka,,"5' 5""",135 lbs.,"67.0""",Orthodox,11,3,0
3325,Evan,Tanner,,"6' 0""",185 lbs.,"74.0""",Orthodox,32,8,0
3326,Manny,Tapia,The Mangler,"5' 5""",135 lbs.,"67.0""",Orthodox,12,14,1
3327,Gary,Tapusoa,,"5' 7""",185 lbs.,--,,8,3,0
3328,Miesha,Tate,Cupcake,"5' 6""",135 lbs.,"65.0""",Orthodox,19,8,0
3329,Deividas,Taurosevicius,,"5' 9""",145 lbs.,"68.0""",Southpaw,17,5,0
3330,Thiago,Tavares,,"5' 7""",145 lbs.,"70.0""",Orthodox,21,7,1
3331,Jeremy,Tavares,,--,135 lbs.,--,,1,6,0
3332,Brad,Tavares,,"6' 1""",185 lbs.,"74.0""",Orthodox,19,7,0
3333,Paul,Taylor,Relentless,"6' 0""",155 lbs.,"72.0""",Orthodox,11,6,1
3334,Jesse,Taylor,JT Money,"6' 0""",170 lbs.,"73.0""",Orthodox,31,15,0
3335,Torrance,Taylor,,"5' 7""",155 lbs.,--,,13,8,1
3336,Louis,Taylor,Handgunz,"5' 11""",185 lbs.,--,Orthodox,13,4,0
3337,Anthony,Taylor,Pretty Boy,"5' 7""",145 lbs.,--,,1,3,0
3338,Danielle,Taylor,Dynamite,"5' 0""",115 lbs.,"60.0""",Orthodox,9,4,0
3339,J.T,Taylor,The Outlaw ,"5' 10""",--,--,,7,7,0
3340,James,Te Huna,,"6' 2""",185 lbs.,"75.0""",Orthodox,16,9,0
3341,Shawn,Teed,,"6' 5""",265 lbs.,--,Orthodox,5,2,0
3342,Glover,Teixeira,,"6' 2""",205 lbs.,"76.0""",Orthodox,33,7,0
3343,John,Teixeira,Macapa,"5' 7""",145 lbs.,--,Orthodox,21,2,2
3344,Ewerton,Teixeira,,"6' 1""",242 lbs.,--,,3,1,0
3345,Tra,Telligman,Trauma,"6' 2""",233 lbs.,--,Orthodox,7,5,1
3346,Taneisha,Tennant,Triple Threat,"5' 7""",145 lbs.,"70.0""",Orthodox,5,1,0
3347,Herman,Terrado,,--,170 lbs.,--,,15,3,1
3348,Dave,Terrel,The Bionic,"5' 8""",170 lbs.,--,Southpaw,7,7,0
3349,David,Terrell,The Soul Assassin,"6' 1""",185 lbs.,--,Southpaw,6,2,0
3350,James,Terry,Intensity,"5' 10""",170 lbs.,--,Orthodox,19,9,0
3351,Jeff,Terry,,"6' 2""",205 lbs.,--,,2,3,0
3352,David,Teymur,,"5' 9""",155 lbs.,"73.0""",Southpaw,8,2,0
3353,Daniel,Teymur,Kid Dynamite,"5' 5""",145 lbs.,"69.0""",Orthodox,7,4,0
3354,Motonobu,Tezuka,,"5' 7""",135 lbs.,--,Southpaw,28,12,7
3355,Jason,Thacker,,"5' 10""",185 lbs.,--,Orthodox,0,1,0
3356,Brandon,Thatch,Rukus,"6' 2""",170 lbs.,"74.0""",Switch,11,5,0
3357,Elias,Theodorou,The Spartan,"6' 1""",185 lbs.,"75.0""",Orthodox,16,3,0
3358,Nik,Theotikos,,--,185 lbs.,--,Orthodox,6,2,0
3359,Paulo,Thiago,,"5' 11""",170 lbs.,"74.0""",Orthodox,18,9,0
3360,Din,Thomas,Dinyero,"5' 9""",155 lbs.,--,Orthodox,26,9,0
3361,Ryan,Thomas,The Tank Engine,"6' 0""",170 lbs.,--,Orthodox,20,8,0
3362,Noah,Thomas,,"5' 9""",135 lbs.,--,Orthodox,14,7,0
3363,Joel,Thomas ,The NIce Guy,"5' 10""",170 lbs.,--,,5,2,0
3364,Treston,Thomison,,"5' 8""",145 lbs.,--,,10,6,0
3365,Nick,Thompson,The Goat,"6' 1""",170 lbs.,"74.0""",Orthodox,38,14,1
3366,James,Thompson,The Colossus,"6' 5""",265 lbs.,--,Orthodox,20,16,0
3367,Oli,Thompson,,"6' 1""",242 lbs.,--,Orthodox,17,10,0
3368,Stephen,Thompson,Wonderboy,"6' 0""",170 lbs.,"75.0""",Orthodox,16,6,1
3369,Josh,Thomson,The Punk,"5' 10""",155 lbs.,"71.0""",Orthodox,22,9,0
3370,Simeon,Thoresen,The Grin,"6' 1""",170 lbs.,"79.0""",Orthodox,17,6,1
3371,Josh,Thornburg,,"6' 0""",170 lbs.,--,,8,8,0
3372,Gleison,Tibau,,"5' 10""",155 lbs.,"71.0""",Southpaw,33,14,0
3373,Chris,Tickle,BadBoy,"5' 9""",155 lbs.,--,,9,9,0
3374,Nolan,Ticman,,"5' 6""",125 lbs.,--,Orthodox,4,3,0
3375,Darren,Till,The Gorilla,"6' 0""",185 lbs.,"74.0""",Southpaw,18,4,1
3376,Brett,Tillis,,--,145 lbs.,--,,0,0,0
3377,Ryan,Tobar,,--,155 lbs.,--,,3,3,0
3378,Andrew,Todhunter,The Sniper,"6' 0""",185 lbs.,--,Switch,8,0,0
3379,Dusko,Todorovic,Thunder,"6' 1""",185 lbs.,"74.0""",Orthodox,11,2,0
3380,Hideo,Tokoro,,"5' 7""",135 lbs.,--,Orthodox,34,29,2
3381,Anatoly,Tokov,,"5' 10""",185 lbs.,--,,25,2,0
3382,Kazuki,Tokudome,,"5' 11""",155 lbs.,"73.0""",Southpaw,18,7,1
3383,Tyler,Toner,,"5' 8""",145 lbs.,"70.0""",Orthodox,15,7,0
3384,James,Toney,Lights Out,"5' 9""",220 lbs.,--,Orthodox,0,1,0
3385,Masanori,Tonooka,,"5' 8""",185 lbs.,--,Orthodox,1,2,0
3386,Carl,Toomey,,--,--,--,,3,3,0
3387,Ilia,Topuria,El Matador,"5' 7""",145 lbs.,"69.0""",Orthodox,11,0,0
3388,Anthony,Torres,The Crush,"5' 8""",170 lbs.,--,Orthodox,5,3,0
3389,Miguel,Torres,,"5' 9""",135 lbs.,"76.0""",Orthodox,44,9,0
3390,Ronys,Torres,,"5' 7""",155 lbs.,--,Orthodox,35,5,0
3391,Haven,Torres,,--,125 lbs.,--,,0,0,0
3392,Tecia,Torres,The Tiny Tornado,"5' 1""",115 lbs.,"60.0""",Orthodox,13,5,0
3393,Alex,Torres,Rolo,"5' 10""",145 lbs.,--,Orthodox,5,4,0
3394,Abram,Torres,,"5' 10""",170 lbs.,--,,4,3,0
3395,Jose,Torres,Shorty,"5' 4""",125 lbs.,"65.0""",Orthodox,8,1,0
3396,Desmond,Torres,,"5' 6""",135 lbs.,"69.0""",Orthodox,7,2,0
3397,Manuel,Torres,El Loco,"5' 10""",155 lbs.,"73.0""",,12,2,0
3398,Salim,Touahri,Grizzly,"5' 10""",170 lbs.,"72.0""",Orthodox,10,4,0
3399,Dequan,Townsend,The Tarantula,"6' 3""",205 lbs.,"79.0""",Orthodox,21,12,0
